site_name,stratum,variable,level,summary_type,n,denom,prop
RUSH,Overall,sex_category,Female,categorical,1774,3718,0.4771382463690156
RUSH,Overall,sex_category,Male,categorical,1944,3718,0.5228617536309844
RUSH,Overall,race_category,American Indian or Alaska Native,categorical,9,3718,0.002420656266810113
RUSH,Overall,race_category,Asian,categorical,138,3718,0.037116729424421735
RUSH,Overall,race_category,Black or African American,categorical,1543,3718,0.4150080688542227
RUSH,Overall,race_category,Native Hawaiian or Other Pacific Islander,categorical,4,3718,0.0010758472296933835
RUSH,Overall,race_category,Other,categorical,670,3718,0.18020441097364173
RUSH,Overall,race_category,Unknown,categorical,65,3718,0.017482517482517484
RUSH,Overall,race_category,White,categorical,1289,3718,0.34669176976869287
RUSH,Overall,ethnicity_category,Hispanic,categorical,752,3718,0.20225927918235612
RUSH,Overall,ethnicity_category,Non-Hispanic,categorical,2912,3718,0.7832167832167832
RUSH,Overall,ethnicity_category,Unknown,categorical,54,3718,0.014523937600860678
RUSH,Overall,device_t0,CPAP,categorical,4,3718,0.0010758472296933835
RUSH,Overall,device_t0,FACE MASK,categorical,199,3718,0.05352339967724583
RUSH,Overall,device_t0,HIGH FLOW NC,categorical,139,3718,0.037385691231845077
RUSH,Overall,device_t0,IMV,categorical,443,3718,0.11915008068854223
RUSH,Overall,device_t0,NASAL CANNULA,categorical,1296,3718,0.34857450242065624
RUSH,Overall,device_t0,NIPPV,categorical,178,3718,0.047875201721355565
RUSH,Overall,device_t0,ROOM AIR,categorical,379,3718,0.10193652501344809
RUSH,Overall,device_t0,TRACH COLLAR,categorical,15,3718,0.004034427111350188
RUSH,Overall,device_t0,UNK,categorical,1061,3718,0.28536847767616996
RUSH,Overall,device_t0,NA,categorical,4,3718,0.0010758472296933835
RUSH,Overall,traj_cluster_ra,1,categorical,1275,3718,0.342926304464766
RUSH,Overall,traj_cluster_ra,2,categorical,686,3718,0.18450779989241528
RUSH,Overall,traj_cluster_ra,3,categorical,1240,3718,0.3335126412049489
RUSH,Overall,traj_cluster_ra,4,categorical,194,3718,0.0521785906401291
RUSH,Overall,traj_cluster_ra,5,categorical,322,3718,0.08660570199031738
RUSH,Overall,traj_cluster_ra,NA,categorical,1,3718,2.6896180742334586e-4
RUSH,Overall,severity_rank,1,categorical,1240,3718,0.3335126412049489
RUSH,Overall,severity_rank,2,categorical,1275,3718,0.342926304464766
RUSH,Overall,severity_rank,3,categorical,322,3718,0.08660570199031738
RUSH,Overall,severity_rank,4,categorical,194,3718,0.0521785906401291
RUSH,Overall,severity_rank,5,categorical,686,3718,0.18450779989241528
RUSH,Overall,severity_rank,NA,categorical,1,3718,2.6896180742334586e-4
RUSH,Overall,death_in_hosp,0,categorical,3354,3718,0.9020979020979021
RUSH,Overall,death_in_hosp,1,categorical,364,3718,0.0979020979020979
RUSH,Overall,hospice_discharge,0,categorical,3566,3718,0.9591178052716515
RUSH,Overall,hospice_discharge,1,categorical,152,3718,0.04088219472834857
RUSH,Overall,death_or_hospice,0,categorical,3202,3718,0.8612157073695536
RUSH,Overall,death_or_hospice,1,categorical,516,3718,0.13878429263044648
RUSH,Overall,any_imv_icu,0,categorical,2357,3718,0.6339429800968263
RUSH,Overall,any_imv_icu,1,categorical,1361,3718,0.36605701990317374
RUSH,Overall,any_imv_72h,0,categorical,2491,3718,0.6699838622915546
RUSH,Overall,any_imv_72h,1,categorical,1227,3718,0.3300161377084454
RUSH,Overall,vaso_any_72h,0,categorical,2754,3718,0.7407208176438945
RUSH,Overall,vaso_any_72h,1,categorical,964,3718,0.2592791823561054
RUSH,Overall,advanced_cancer_any_poa,0,categorical,3056,3718,0.821947283485745
RUSH,Overall,advanced_cancer_any_poa,1,categorical,662,3718,0.17805271651425497
RUSH,Overall,metastatic_cancer_poa,0,categorical,3230,3718,0.8687466379774073
RUSH,Overall,metastatic_cancer_poa,1,categorical,488,3718,0.1312533620225928
RUSH,Overall,malignant_pleural_effusion_poa,0,categorical,3575,3718,0.9615384615384616
RUSH,Overall,malignant_pleural_effusion_poa,1,categorical,143,3718,0.038461538461538464
RUSH,Overall,cachexia_poa,0,categorical,3554,3718,0.9558902635825712
RUSH,Overall,cachexia_poa,1,categorical,164,3718,0.04410973641742873
