traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,22,0.018900343642611683
1,0,ARF_HYPOX,16,0.013745704467353952
1,0,ARF_MIXED,21,0.01804123711340206
1,0,NO_ARF,1105,0.9493127147766323
1,1,ARF_HYPER,25,0.02147766323024055
1,1,ARF_HYPOX,43,0.036941580756013746
1,1,ARF_MIXED,37,0.03178694158075601
1,1,NO_ARF,1059,0.9097938144329897
1,2,ARF_HYPER,31,0.02663230240549828
1,2,ARF_HYPOX,59,0.0506872852233677
1,2,ARF_MIXED,40,0.03436426116838488
1,2,NO_ARF,1034,0.8883161512027491
1,3,ARF_HYPER,39,0.03350515463917526
1,3,ARF_HYPOX,68,0.058419243986254296
1,3,ARF_MIXED,49,0.04209621993127148
1,3,NO_ARF,1008,0.865979381443299
1,4,ARF_HYPER,41,0.0352233676975945
1,4,ARF_HYPOX,79,0.06786941580756013
1,4,ARF_MIXED,51,0.04381443298969072
1,4,NO_ARF,993,0.8530927835051546
1,5,ARF_HYPER,41,0.0352233676975945
1,5,ARF_HYPOX,84,0.07216494845360824
1,5,ARF_MIXED,55,0.04725085910652921
1,5,NO_ARF,984,0.845360824742268
1,6,ARF_HYPER,42,0.03608247422680412
1,6,ARF_HYPOX,87,0.07474226804123711
1,6,ARF_MIXED,56,0.048109965635738834
1,6,NO_ARF,979,0.8410652920962199
1,7,ARF_HYPER,30,0.02577319587628866
1,7,ARF_HYPOX,93,0.07989690721649484
1,7,ARF_MIXED,44,0.037800687285223365
1,7,NO_ARF,997,0.8565292096219931
1,8,ARF_HYPER,28,0.024054982817869417
1,8,ARF_HYPOX,95,0.08161512027491409
1,8,ARF_MIXED,40,0.03436426116838488
1,8,NO_ARF,1001,0.8599656357388317
1,9,ARF_HYPER,28,0.024054982817869417
1,9,ARF_HYPOX,85,0.07302405498281787
1,9,ARF_MIXED,38,0.03264604810996564
1,9,NO_ARF,1013,0.8702749140893471
1,10,ARF_HYPER,27,0.023195876288659795
1,10,ARF_HYPOX,77,0.0661512027491409
1,10,ARF_MIXED,31,0.02663230240549828
1,10,NO_ARF,1029,0.884020618556701
1,11,ARF_HYPER,29,0.02491408934707904
1,11,ARF_HYPOX,70,0.06013745704467354
1,11,ARF_MIXED,30,0.02577319587628866
1,11,NO_ARF,1035,0.8891752577319587
1,12,ARF_HYPER,27,0.023195876288659795
1,12,ARF_HYPOX,65,0.05584192439862543
1,12,ARF_MIXED,31,0.02663230240549828
1,12,NO_ARF,1041,0.8943298969072165
1,13,ARF_HYPER,22,0.018900343642611683
1,13,ARF_HYPOX,65,0.05584192439862543
1,13,ARF_MIXED,32,0.027491408934707903
1,13,NO_ARF,1045,0.897766323024055
1,14,ARF_HYPER,20,0.01718213058419244
1,14,ARF_HYPOX,51,0.04381443298969072
1,14,ARF_MIXED,32,0.027491408934707903
1,14,NO_ARF,1061,0.9115120274914089
1,15,ARF_HYPER,20,0.01718213058419244
1,15,ARF_HYPOX,46,0.03951890034364261
1,15,ARF_MIXED,27,0.023195876288659795
1,15,NO_ARF,1071,0.9201030927835051
1,16,ARF_HYPER,20,0.01718213058419244
1,16,ARF_HYPOX,41,0.0352233676975945
1,16,ARF_MIXED,25,0.02147766323024055
1,16,NO_ARF,1078,0.9261168384879725
1,17,ARF_HYPER,20,0.01718213058419244
1,17,ARF_HYPOX,42,0.03608247422680412
1,17,ARF_MIXED,21,0.01804123711340206
1,17,NO_ARF,1081,0.9286941580756014
1,18,ARF_HYPER,17,0.014604810996563574
1,18,ARF_HYPOX,40,0.03436426116838488
1,18,ARF_MIXED,19,0.01632302405498282
1,18,NO_ARF,1088,0.9347079037800687
1,19,ARF_HYPER,17,0.014604810996563574
1,19,ARF_HYPOX,34,0.029209621993127148
1,19,ARF_MIXED,16,0.013745704467353952
1,19,NO_ARF,1097,0.9424398625429553
1,20,ARF_HYPER,16,0.013745704467353952
1,20,ARF_HYPOX,32,0.027491408934707903
1,20,ARF_MIXED,14,0.012027491408934709
1,20,NO_ARF,1102,0.9467353951890034
1,21,ARF_HYPER,15,0.01288659793814433
1,21,ARF_HYPOX,29,0.02491408934707904
1,21,ARF_MIXED,9,0.007731958762886598
1,21,NO_ARF,1111,0.9544673539518901
1,22,ARF_HYPER,16,0.013745704467353952
1,22,ARF_HYPOX,31,0.02663230240549828
1,22,ARF_MIXED,10,0.00859106529209622
1,22,NO_ARF,1107,0.9510309278350515
1,23,ARF_HYPER,15,0.01288659793814433
1,23,ARF_HYPOX,32,0.027491408934707903
1,23,ARF_MIXED,10,0.00859106529209622
1,23,NO_ARF,1107,0.9510309278350515
1,24,ARF_HYPER,13,0.011168384879725086
1,24,ARF_HYPOX,31,0.02663230240549828
1,24,ARF_MIXED,9,0.007731958762886598
1,24,NO_ARF,1111,0.9544673539518901
1,25,ARF_HYPER,11,0.009450171821305841
1,25,ARF_HYPOX,29,0.02491408934707904
1,25,ARF_MIXED,9,0.007731958762886598
1,25,NO_ARF,1115,0.9579037800687286
1,26,ARF_HYPER,11,0.009450171821305841
1,26,ARF_HYPOX,30,0.02577319587628866
1,26,ARF_MIXED,10,0.00859106529209622
1,26,NO_ARF,1113,0.9561855670103093
1,27,ARF_HYPER,11,0.009450171821305841
1,27,ARF_HYPOX,29,0.02491408934707904
1,27,ARF_MIXED,8,0.006872852233676976
1,27,NO_ARF,1116,0.9587628865979382
1,28,ARF_HYPER,13,0.011168384879725086
1,28,ARF_HYPOX,26,0.022336769759450172
1,28,ARF_MIXED,8,0.006872852233676976
1,28,NO_ARF,1117,0.9596219931271478
1,29,ARF_HYPER,13,0.011168384879725086
1,29,ARF_HYPOX,20,0.01718213058419244
1,29,ARF_MIXED,8,0.006872852233676976
1,29,NO_ARF,1123,0.9647766323024055
1,30,ARF_HYPER,10,0.00859106529209622
1,30,ARF_HYPOX,19,0.01632302405498282
1,30,ARF_MIXED,9,0.007731958762886598
1,30,NO_ARF,1126,0.9673539518900344
1,31,ARF_HYPER,9,0.007731958762886598
1,31,ARF_HYPOX,19,0.01632302405498282
