site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
UCMC,Overall,age_years,NA,continuous,7782,58.54716011308149,17.828136790223958,61,47,71
UCMC,Overall,icu_los_hours,NA,continuous,7782,201.2624903623747,295.71246598849416,96.86666666666666,40.916666666666664,251.02499999999998
UCMC,Overall,imv_hours_icu,NA,continuous,7782,39.1207915702904,81.56799891486888,9,0,43
UCMC,Overall,imv_hours_72h,NA,continuous,7782,11.62631714212285,13.43244977217719,7,0,20
UCMC,Overall,escalations_icu,NA,continuous,7782,1.2743510665638584,3.072847713341002,0,0,1
UCMC,Overall,deescalations_icu,NA,continuous,7782,1.7698535080956144,3.20845031184004,1,0,2
UCMC,Overall,vaso_hours_72h,NA,continuous,7782,14.229118478540196,21.733629690495817,0,0,23
UCMC,Overall,vaso_mean_72h,NA,continuous,7782,0.45772295039835587,0.4982414584480825,0,0,1
UCMC,Overall,pm25_1y,NA,continuous,7780,8.889769961043283,1.1588746089653998,8.911922454833984,7.932501316070557,10.45326328277588
UCMC,Overall,pm25_3y,NA,continuous,7780,8.51943387059978,0.8035871663597207,8.372029060430444,8.155468622843424,9.374867757161459
UCMC,Overall,pm25_5y,NA,continuous,7780,8.386171591624485,0.5856576781836235,8.43081226348877,8.134114118997523,8.735817337036133
UCMC,Overall,no2_1y,NA,continuous,7780,9.208454062723957,2.1813441614129037,9.894152641296388,9.507168769836426,10.177943229675291
UCMC,Overall,no2_3y,NA,continuous,7780,9.633363094038565,2.2726520508144175,10.020097414652506,9.79650592803955,10.92268235203605
UCMC,Overall,no2_5y,NA,continuous,7780,10.143365943609625,2.3802216237773073,10.586837331753856,9.848906898498536,11.852318723596616
UCMC,Overall,charlson_score,NA,continuous,7782,3.7074016962220475,3.2371215018631707,3,1,6
UCMC,Overall,sofa_total,NA,continuous,7782,8.104600359804689,4.721560270192018,8,4,12
UCMC,Overall,sofa_resp,NA,continuous,7782,2.2798766383962965,1.4051161718211307,3,1,3
UCMC,Overall,sofa_cv,NA,continuous,7782,1.5941917244924184,1.7283166538500987,1,0,4
UCMC,Overall,sofa_renal,NA,continuous,7782,1.0652788486250298,1.2471707266235792,1,0,2
UCMC,Overall,sofa_liver,NA,continuous,7782,0.3107170393215117,0.7618899618446823,0,0,0
UCMC,Overall,sofa_coag,NA,continuous,7782,0.5993317913132853,0.9795962730412325,0,0,1
UCMC,Overall,sofa_cns,NA,continuous,7782,2.25520431765613,1.5977414750175882,3,0,4
