traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,5,0.008620689655172414
1,0,ARF_HYPOX,27,0.04655172413793104
1,0,ARF_MIXED,13,0.022413793103448276
1,0,NO_ARF,535,0.9224137931034483
1,1,ARF_HYPER,5,0.008620689655172414
1,1,ARF_HYPOX,67,0.11551724137931034
1,1,ARF_MIXED,20,0.034482758620689655
1,1,NO_ARF,488,0.8413793103448276
1,2,ARF_HYPER,10,0.017241379310344827
1,2,ARF_HYPOX,89,0.15344827586206897
1,2,ARF_MIXED,27,0.04655172413793104
1,2,NO_ARF,454,0.7827586206896552
1,3,ARF_HYPER,11,0.01896551724137931
1,3,ARF_HYPOX,109,0.1879310344827586
1,3,ARF_MIXED,31,0.05344827586206897
1,3,NO_ARF,429,0.7396551724137931
1,4,ARF_HYPER,11,0.01896551724137931
1,4,ARF_HYPOX,118,0.20344827586206896
1,4,ARF_MIXED,34,0.05862068965517241
1,4,NO_ARF,417,0.7189655172413794
1,5,ARF_HYPER,14,0.02413793103448276
1,5,ARF_HYPOX,126,0.21724137931034482
1,5,ARF_MIXED,38,0.06551724137931035
1,5,NO_ARF,402,0.6931034482758621
1,6,ARF_HYPER,18,0.03103448275862069
1,6,ARF_HYPOX,140,0.2413793103448276
1,6,ARF_MIXED,40,0.06896551724137931
1,6,NO_ARF,382,0.6586206896551724
1,7,ARF_HYPER,16,0.027586206896551724
1,7,ARF_HYPOX,135,0.23275862068965517
1,7,ARF_MIXED,35,0.0603448275862069
1,7,NO_ARF,394,0.6793103448275862
1,8,ARF_HYPER,15,0.02586206896551724
1,8,ARF_HYPOX,121,0.20862068965517241
1,8,ARF_MIXED,33,0.056896551724137934
1,8,NO_ARF,411,0.7086206896551724
1,9,ARF_HYPER,11,0.01896551724137931
1,9,ARF_HYPOX,117,0.20172413793103447
1,9,ARF_MIXED,31,0.05344827586206897
1,9,NO_ARF,421,0.7258620689655172
1,10,ARF_HYPER,12,0.020689655172413793
1,10,ARF_HYPOX,111,0.19137931034482758
1,10,ARF_MIXED,28,0.04827586206896552
1,10,NO_ARF,429,0.7396551724137931
1,11,ARF_HYPER,11,0.01896551724137931
1,11,ARF_HYPOX,107,0.18448275862068966
1,11,ARF_MIXED,20,0.034482758620689655
1,11,NO_ARF,442,0.7620689655172413
1,12,ARF_HYPER,9,0.015517241379310345
1,12,ARF_HYPOX,106,0.18275862068965518
1,12,ARF_MIXED,21,0.03620689655172414
1,12,NO_ARF,444,0.7655172413793103
1,13,ARF_HYPER,6,0.010344827586206896
1,13,ARF_HYPOX,101,0.17413793103448275
1,13,ARF_MIXED,18,0.03103448275862069
1,13,NO_ARF,455,0.7844827586206896
1,14,ARF_HYPER,5,0.008620689655172414
1,14,ARF_HYPOX,98,0.16896551724137931
1,14,ARF_MIXED,14,0.02413793103448276
1,14,NO_ARF,463,0.7982758620689655
1,15,ARF_HYPER,4,0.006896551724137931
1,15,ARF_HYPOX,94,0.16206896551724137
1,15,ARF_MIXED,12,0.020689655172413793
1,15,NO_ARF,470,0.8103448275862069
1,16,ARF_HYPER,3,0.005172413793103448
1,16,ARF_HYPOX,91,0.15689655172413794
1,16,ARF_MIXED,7,0.01206896551724138
1,16,NO_ARF,479,0.8258620689655173
1,17,ARF_HYPER,2,0.0034482758620689655
1,17,ARF_HYPOX,90,0.15517241379310345
1,17,ARF_MIXED,5,0.008620689655172414
1,17,NO_ARF,483,0.8327586206896552
1,18,ARF_HYPER,3,0.005172413793103448
1,18,ARF_HYPOX,93,0.16034482758620688
1,18,ARF_MIXED,7,0.01206896551724138
1,18,NO_ARF,477,0.8224137931034483
1,19,ARF_HYPER,2,0.0034482758620689655
1,19,ARF_HYPOX,90,0.15517241379310345
1,19,ARF_MIXED,7,0.01206896551724138
1,19,NO_ARF,481,0.8293103448275863
1,20,ARF_HYPER,3,0.005172413793103448
1,20,ARF_HYPOX,90,0.15517241379310345
1,20,ARF_MIXED,10,0.017241379310344827
1,20,NO_ARF,477,0.8224137931034483
1,21,ARF_HYPER,3,0.005172413793103448
1,21,ARF_HYPOX,88,0.15172413793103448
1,21,ARF_MIXED,10,0.017241379310344827
1,21,NO_ARF,479,0.8258620689655173
1,22,ARF_HYPER,3,0.005172413793103448
1,22,ARF_HYPOX,85,0.14655172413793102
1,22,ARF_MIXED,9,0.015517241379310345
1,22,NO_ARF,483,0.8327586206896552
1,23,ARF_HYPER,5,0.008620689655172414
1,23,ARF_HYPOX,75,0.12931034482758622
1,23,ARF_MIXED,12,0.020689655172413793
1,23,NO_ARF,488,0.8413793103448276
1,24,ARF_HYPER,5,0.008620689655172414
1,24,ARF_HYPOX,74,0.12758620689655173
1,24,ARF_MIXED,13,0.022413793103448276
1,24,NO_ARF,488,0.8413793103448276
1,25,ARF_HYPER,7,0.01206896551724138
