traj_cluster_ra,h,rs,n,prop
1,0,IMV,499,0.8603448275862069
1,0,LOW_O2,32,0.05517241379310345
1,0,NIV,29,0.05
1,0,ROOM AIR,20,0.034482758620689655
1,1,IMV,503,0.8672413793103448
1,1,LOW_O2,29,0.05
1,1,NIV,30,0.05172413793103448
1,1,ROOM AIR,18,0.03103448275862069
1,2,IMV,509,0.8775862068965518
1,2,LOW_O2,29,0.05
1,2,NIV,27,0.04655172413793104
1,2,ROOM AIR,15,0.02586206896551724
1,3,IMV,514,0.8862068965517241
1,3,LOW_O2,26,0.04482758620689655
1,3,NIV,27,0.04655172413793104
1,3,ROOM AIR,13,0.022413793103448276
1,4,IMV,518,0.8931034482758621
1,4,LOW_O2,25,0.04310344827586207
1,4,NIV,24,0.041379310344827586
1,4,ROOM AIR,13,0.022413793103448276
1,5,IMV,521,0.8982758620689655
1,5,LOW_O2,24,0.041379310344827586
1,5,NIV,22,0.03793103448275862
1,5,ROOM AIR,13,0.022413793103448276
1,6,IMV,527,0.9086206896551724
1,6,LOW_O2,21,0.03620689655172414
1,6,NIV,20,0.034482758620689655
1,6,ROOM AIR,12,0.020689655172413793
1,7,IMV,531,0.9155172413793103
1,7,LOW_O2,17,0.029310344827586206
1,7,NIV,21,0.03620689655172414
1,7,ROOM AIR,11,0.01896551724137931
1,8,IMV,533,0.9189655172413793
1,8,LOW_O2,17,0.029310344827586206
1,8,NIV,20,0.034482758620689655
1,8,ROOM AIR,10,0.017241379310344827
1,9,IMV,535,0.9224137931034483
1,9,LOW_O2,17,0.029310344827586206
1,9,NIV,19,0.032758620689655175
1,9,ROOM AIR,9,0.015517241379310345
1,10,IMV,537,0.9258620689655173
1,10,LOW_O2,14,0.02413793103448276
1,10,NIV,20,0.034482758620689655
1,10,ROOM AIR,9,0.015517241379310345
1,11,IMV,541,0.9327586206896552
1,11,LOW_O2,10,0.017241379310344827
1,11,NIV,19,0.032758620689655175
1,11,ROOM AIR,10,0.017241379310344827
1,12,IMV,545,0.9396551724137931
1,12,LOW_O2,9,0.015517241379310345
1,12,NIV,16,0.027586206896551724
1,12,ROOM AIR,10,0.017241379310344827
1,13,IMV,547,0.9431034482758621
1,13,LOW_O2,10,0.017241379310344827
1,13,NIV,14,0.02413793103448276
1,13,ROOM AIR,9,0.015517241379310345
1,14,IMV,548,0.9448275862068966
1,14,LOW_O2,11,0.01896551724137931
1,14,NIV,14,0.02413793103448276
1,14,ROOM AIR,7,0.01206896551724138
1,15,IMV,548,0.9448275862068966
1,15,LOW_O2,11,0.01896551724137931
1,15,NIV,14,0.02413793103448276
1,15,ROOM AIR,7,0.01206896551724138
1,16,IMV,550,0.9482758620689655
1,16,LOW_O2,9,0.015517241379310345
1,16,NIV,13,0.022413793103448276
1,16,ROOM AIR,8,0.013793103448275862
1,17,IMV,550,0.9482758620689655
1,17,LOW_O2,9,0.015517241379310345
1,17,NIV,13,0.022413793103448276
1,17,ROOM AIR,8,0.013793103448275862
1,18,IMV,552,0.9517241379310345
1,18,LOW_O2,7,0.01206896551724138
1,18,NIV,12,0.020689655172413793
1,18,OTHER,1,0.0017241379310344827
1,18,ROOM AIR,8,0.013793103448275862
1,19,IMV,557,0.9603448275862069
1,19,LOW_O2,6,0.010344827586206896
1,19,NIV,10,0.017241379310344827
1,19,ROOM AIR,7,0.01206896551724138
1,20,IMV,556,0.9586206896551724
1,20,LOW_O2,7,0.01206896551724138
1,20,NIV,9,0.015517241379310345
1,20,OTHER,1,0.0017241379310344827
1,20,ROOM AIR,7,0.01206896551724138
1,21,IMV,556,0.9586206896551724
1,21,LOW_O2,6,0.010344827586206896
1,21,NIV,10,0.017241379310344827
1,21,OTHER,1,0.0017241379310344827
1,21,ROOM AIR,7,0.01206896551724138
1,22,IMV,557,0.9603448275862069
1,22,LOW_O2,6,0.010344827586206896
1,22,NIV,9,0.015517241379310345
1,22,OTHER,2,0.0034482758620689655
1,22,ROOM AIR,6,0.010344827586206896
1,23,IMV,559,0.9637931034482758
1,23,LOW_O2,6,0.010344827586206896
1,23,NIV,7,0.01206896551724138
1,23,OTHER,2,0.0034482758620689655
1,23,ROOM AIR,6,0.010344827586206896
1,24,IMV,559,0.9637931034482758
1,24,LOW_O2,5,0.008620689655172414
1,24,NIV,8,0.013793103448275862
1,24,OTHER,2,0.0034482758620689655
1,24,ROOM AIR,6,0.010344827586206896
1,25,IMV,562,0.9689655172413794
1,25,LOW_O2,4,0.006896551724137931
1,25,NIV,7,0.01206896551724138
1,25,OTHER,1,0.0017241379310344827
1,25,ROOM AIR,6,0.010344827586206896
1,26,IMV,564,0.9724137931034482
1,26,LOW_O2,3,0.005172413793103448
1,26,NIV,6,0.010344827586206896
1,26,OTHER,1,0.0017241379310344827
1,26,ROOM AIR,6,0.010344827586206896
1,27,IMV,564,0.9724137931034482
