county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
01003,UCSF,1,5,1,1,-0,NA,NA,NA,NA
01097,UCSF,1,3,1,1,-0,NA,NA,NA,NA
04013,UCSF,3,2,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
05143,UCSF,1,4,1,1,-0,NA,NA,NA,NA
06001,UCSF,182,3,0.29120879120879123,5,1.567888878388577,182,0.29120879120879123,3,1.567888878388577
06007,UCSF,18,1,0.5555555555555556,4,1.1199903556503674,18,0.5555555555555556,1,1.1199903556503674
06009,UCSF,4,2,0.75,2,0.5623351446188083,NA,NA,NA,NA
06013,UCSF,147,1,0.3401360544217687,5,1.5298067198445096,147,0.3401360544217687,1,1.5298067198445096
06015,UCSF,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
06017,UCSF,8,1,0.375,4,1.3208883431493221,NA,NA,NA,NA
06019,UCSF,67,1,0.40298507462686567,5,1.4726121337196008,67,0.40298507462686567,1,1.4726121337196008
06021,UCSF,4,2,0.5,3,1.0397207708399179,NA,NA,NA,NA
06023,UCSF,17,1,0.4117647058823529,4,1.205697772011519,17,0.4117647058823529,1,1.205697772011519
06029,UCSF,4,1,0.5,3,1.0397207708399179,NA,NA,NA,NA
06031,UCSF,10,1,0.4,4,1.2798542258336676,NA,NA,NA,NA
06033,UCSF,19,3,0.3684210526315789,5,1.4391741154213273,19,0.3684210526315789,3,1.4391741154213273
06035,UCSF,1,5,1,1,-0,NA,NA,NA,NA
06037,UCSF,7,3,0.42857142857142855,4,1.277034259466139,NA,NA,NA,NA
06039,UCSF,5,1,0.4,4,1.3321790402101223,NA,NA,NA,NA
06041,UCSF,85,1,0.2823529411764706,5,1.5686409938531267,85,0.2823529411764706,1,1.5686409938531267
06043,UCSF,1,3,1,1,-0,NA,NA,NA,NA
06045,UCSF,24,2,0.2916666666666667,5,1.491957706052257,24,0.2916666666666667,2,1.491957706052257
06047,UCSF,29,3,0.3103448275862069,5,1.5401246794600814,29,0.3103448275862069,3,1.5401246794600814
06053,UCSF,48,1,0.3958333333333333,5,1.4701081942780778,48,0.3958333333333333,1,1.4701081942780778
06055,UCSF,19,3,0.2631578947368421,5,1.5902696011065307,19,0.2631578947368421,3,1.5902696011065307
06057,UCSF,7,1,0.2857142857142857,4,1.351783994289646,NA,NA,NA,NA
06059,UCSF,3,5,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
06061,UCSF,8,1,0.375,3,1.0821955300387673,NA,NA,NA,NA
06063,UCSF,1,4,1,1,-0,NA,NA,NA,NA
06065,UCSF,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
06067,UCSF,48,3,0.2708333333333333,5,1.5846777979780178,48,0.2708333333333333,3,1.5846777979780178
06069,UCSF,9,1,0.3333333333333333,5,1.464816384890813,NA,NA,NA,NA
06073,UCSF,1,4,1,1,-0,NA,NA,NA,NA
06075,UCSF,903,3,0.29789590254706533,5,1.5589053400901864,903,0.29789590254706533,3,1.5589053400901864
06077,UCSF,89,1,0.2247191011235955,5,1.6000762156111046,89,0.2247191011235955,1,1.6000762156111046
06079,UCSF,17,3,0.47058823529411764,5,1.3853603777875552,17,0.47058823529411764,3,1.3853603777875552
06081,UCSF,92,1,0.2826086956521739,5,1.545904070263053,92,0.2826086956521739,1,1.545904070263053
06083,UCSF,5,1,0.4,3,1.0549201679861442,NA,NA,NA,NA
06085,UCSF,74,3,0.2972972972972973,5,1.5514306429524756,74,0.2972972972972973,3,1.5514306429524756
06087,UCSF,20,1,0.35,4,1.35778649882815,20,0.35,1,1.35778649882815
06089,UCSF,22,3,0.45454545454545453,5,1.3667110520552042,22,0.45454545454545453,3,1.3667110520552042
06093,UCSF,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
06095,UCSF,54,3,0.2962962962962963,5,1.5665016256216733,54,0.2962962962962963,3,1.5665016256216733
06097,UCSF,95,1,0.29473684210526313,5,1.568376931994928,95,0.29473684210526313,1,1.568376931994928
06099,UCSF,60,3,0.31666666666666665,5,1.569362750027218,60,0.31666666666666665,3,1.569362750027218
06101,UCSF,5,3,0.4,3,1.0549201679861442,NA,NA,NA,NA
06103,UCSF,7,3,0.42857142857142855,3,1.0789922078775833,NA,NA,NA,NA
06107,UCSF,41,3,0.3170731707317073,5,1.513340054029376,41,0.3170731707317073,3,1.513340054029376
06109,UCSF,6,1,0.3333333333333333,4,1.3296613488547582,NA,NA,NA,NA
06111,UCSF,2,4,1,1,-0,NA,NA,NA,NA
06113,UCSF,11,1,0.45454545454545453,4,1.2406842919533958,11,0.45454545454545453,1,1.2406842919533958
06115,UCSF,6,1,0.5,3,1.0114042647073518,NA,NA,NA,NA
08005,UCSF,1,5,1,1,-0,NA,NA,NA,NA
08013,UCSF,1,4,1,1,-0,NA,NA,NA,NA
09001,UCSF,1,4,1,1,-0,NA,NA,NA,NA
09009,UCSF,1,4,1,1,-0,NA,NA,NA,NA
12011,UCSF,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12057,UCSF,1,1,1,1,-0,NA,NA,NA,NA
12101,UCSF,1,4,1,1,-0,NA,NA,NA,NA
13051,UCSF,1,4,1,1,-0,NA,NA,NA,NA
15003,UCSF,1,1,1,1,-0,NA,NA,NA,NA
17089,UCSF,1,1,1,1,-0,NA,NA,NA,NA
18011,UCSF,1,3,1,1,-0,NA,NA,NA,NA
22005,UCSF,1,3,1,1,-0,NA,NA,NA,NA
23029,UCSF,1,3,1,1,-0,NA,NA,NA,NA
24003,UCSF,1,3,1,1,-0,NA,NA,NA,NA
25009,UCSF,1,3,1,1,-0,NA,NA,NA,NA
27171,UCSF,1,2,1,1,-0,NA,NA,NA,NA
29047,UCSF,1,3,1,1,-0,NA,NA,NA,NA
32001,UCSF,1,4,1,1,-0,NA,NA,NA,NA
32005,UCSF,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
32019,UCSF,2,1,1,1,-0,NA,NA,NA,NA
32031,UCSF,6,4,0.3333333333333333,4,1.3296613488547582,NA,NA,NA,NA
32510,UCSF,2,3,1,1,-0,NA,NA,NA,NA
34023,UCSF,1,3,1,1,-0,NA,NA,NA,NA
35001,UCSF,1,1,1,1,-0,NA,NA,NA,NA
36039,UCSF,1,4,1,1,-0,NA,NA,NA,NA
39093,UCSF,1,4,1,1,-0,NA,NA,NA,NA
41005,UCSF,1,1,1,1,-0,NA,NA,NA,NA
41029,UCSF,1,1,1,1,-0,NA,NA,NA,NA
41061,UCSF,1,4,1,1,-0,NA,NA,NA,NA
41067,UCSF,1,5,1,1,-0,NA,NA,NA,NA
41071,UCSF,1,5,1,1,-0,NA,NA,NA,NA
42091,UCSF,1,2,1,1,-0,NA,NA,NA,NA
48029,UCSF,1,1,1,1,-0,NA,NA,NA,NA
48113,UCSF,1,1,1,1,-0,NA,NA,NA,NA
48121,UCSF,1,1,1,1,-0,NA,NA,NA,NA
49053,UCSF,1,4,1,1,-0,NA,NA,NA,NA
53059,UCSF,1,4,1,1,-0,NA,NA,NA,NA
53061,UCSF,1,5,1,1,-0,NA,NA,NA,NA
55009,UCSF,1,1,1,1,-0,NA,NA,NA,NA
55079,UCSF,1,3,1,1,-0,NA,NA,NA,NA
