site_name,stratum,variable,level,summary_type,n,denom,prop
UCSF,1,sex_category,Female,categorical,257,580,0.44310344827586207
UCSF,1,sex_category,Male,categorical,322,580,0.5551724137931034
UCSF,1,sex_category,Unknown,categorical,1,580,0.0017241379310344827
UCSF,2,sex_category,Female,categorical,150,342,0.43859649122807015
UCSF,2,sex_category,Male,categorical,191,342,0.5584795321637427
UCSF,2,sex_category,Unknown,categorical,1,342,0.0029239766081871343
UCSF,3,sex_category,Female,categorical,310,637,0.48665620094191525
UCSF,3,sex_category,Male,categorical,327,637,0.5133437990580848
UCSF,4,sex_category,Female,categorical,194,465,0.4172043010752688
UCSF,4,sex_category,Male,categorical,270,465,0.5806451612903226
UCSF,4,sex_category,Unknown,categorical,1,465,0.002150537634408602
UCSF,5,sex_category,Female,categorical,132,323,0.4086687306501548
UCSF,5,sex_category,Male,categorical,190,323,0.5882352941176471
UCSF,5,sex_category,Unknown,categorical,1,323,0.0030959752321981426
UCSF,NA,sex_category,Female,categorical,9,21,0.42857142857142855
UCSF,NA,sex_category,Male,categorical,11,21,0.5238095238095238
UCSF,NA,sex_category,Unknown,categorical,1,21,0.047619047619047616
UCSF,1,race_category,American Indian or Alaska Native,categorical,4,580,0.006896551724137931
UCSF,1,race_category,Asian,categorical,129,580,0.22241379310344828
UCSF,1,race_category,Black or African American,categorical,52,580,0.0896551724137931
UCSF,1,race_category,Native Hawaiian or Other Pacific Islander,categorical,16,580,0.027586206896551724
UCSF,1,race_category,Other,categorical,110,580,0.1896551724137931
UCSF,1,race_category,Unknown,categorical,37,580,0.06379310344827586
UCSF,1,race_category,White,categorical,232,580,0.4
UCSF,2,race_category,American Indian or Alaska Native,categorical,3,342,0.008771929824561403
UCSF,2,race_category,Asian,categorical,77,342,0.22514619883040934
UCSF,2,race_category,Black or African American,categorical,26,342,0.07602339181286549
UCSF,2,race_category,Native Hawaiian or Other Pacific Islander,categorical,2,342,0.005847953216374269
UCSF,2,race_category,Other,categorical,65,342,0.19005847953216373
UCSF,2,race_category,Unknown,categorical,11,342,0.03216374269005848
UCSF,2,race_category,White,categorical,158,342,0.4619883040935672
UCSF,3,race_category,American Indian or Alaska Native,categorical,2,637,0.0031397174254317113
UCSF,3,race_category,Asian,categorical,160,637,0.25117739403453687
UCSF,3,race_category,Black or African American,categorical,70,637,0.10989010989010989
UCSF,3,race_category,Native Hawaiian or Other Pacific Islander,categorical,5,637,0.007849293563579277
UCSF,3,race_category,Other,categorical,85,637,0.13343799058084774
UCSF,3,race_category,Unknown,categorical,20,637,0.03139717425431711
UCSF,3,race_category,White,categorical,295,637,0.4631083202511774
UCSF,4,race_category,American Indian or Alaska Native,categorical,1,465,0.002150537634408602
UCSF,4,race_category,Asian,categorical,117,465,0.25161290322580643
UCSF,4,race_category,Black or African American,categorical,49,465,0.1053763440860215
UCSF,4,race_category,Native Hawaiian or Other Pacific Islander,categorical,13,465,0.02795698924731183
