site_name,stratum,variable,level,summary_type,n,denom,prop
UCSF,Q1,sex_category,Female,categorical,264,592,0.44594594594594594
UCSF,Q1,sex_category,Male,categorical,327,592,0.5523648648648649
UCSF,Q1,sex_category,Unknown,categorical,1,592,0.0016891891891891893
UCSF,Q2,sex_category,Female,categorical,269,592,0.4543918918918919
UCSF,Q2,sex_category,Male,categorical,322,592,0.543918918918919
UCSF,Q2,sex_category,Unknown,categorical,1,592,0.0016891891891891893
UCSF,Q3,sex_category,Female,categorical,254,592,0.42905405405405406
UCSF,Q3,sex_category,Male,categorical,337,592,0.5692567567567568
UCSF,Q3,sex_category,Unknown,categorical,1,592,0.0016891891891891893
UCSF,Q4,sex_category,Female,categorical,264,591,0.4467005076142132
UCSF,Q4,sex_category,Male,categorical,325,591,0.5499153976311336
UCSF,Q4,sex_category,Unknown,categorical,2,591,0.00338409475465313
UCSF,NA,sex_category,Female,categorical,1,1,1
UCSF,Q1,race_category,American Indian or Alaska Native,categorical,9,592,0.015202702702702704
UCSF,Q1,race_category,Asian,categorical,26,592,0.04391891891891892
UCSF,Q1,race_category,Black or African American,categorical,19,592,0.03209459459459459
UCSF,Q1,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,592,0.005067567567567568
UCSF,Q1,race_category,Other,categorical,142,592,0.23986486486486486
UCSF,Q1,race_category,Unknown,categorical,42,592,0.07094594594594594
UCSF,Q1,race_category,White,categorical,351,592,0.5929054054054054
UCSF,Q2,race_category,American Indian or Alaska Native,categorical,6,592,0.010135135135135136
UCSF,Q2,race_category,Asian,categorical,108,592,0.18243243243243243
UCSF,Q2,race_category,Black or African American,categorical,50,592,0.08445945945945946
UCSF,Q2,race_category,Native Hawaiian or Other Pacific Islander,categorical,9,592,0.015202702702702704
UCSF,Q2,race_category,Other,categorical,128,592,0.21621621621621623
UCSF,Q2,race_category,Unknown,categorical,33,592,0.05574324324324324
UCSF,Q2,race_category,White,categorical,258,592,0.4358108108108108
UCSF,Q3,race_category,American Indian or Alaska Native,categorical,1,592,0.0016891891891891893
UCSF,Q3,race_category,Asian,categorical,200,592,0.33783783783783783
UCSF,Q3,race_category,Black or African American,categorical,80,592,0.13513513513513514
UCSF,Q3,race_category,Native Hawaiian or Other Pacific Islander,categorical,12,592,0.02027027027027027
UCSF,Q3,race_category,Other,categorical,81,592,0.13682432432432431
UCSF,Q3,race_category,Unknown,categorical,23,592,0.03885135135135135
UCSF,Q3,race_category,White,categorical,195,592,0.3293918918918919
UCSF,Q4,race_category,American Indian or Alaska Native,categorical,2,591,0.00338409475465313
UCSF,Q4,race_category,Asian,categorical,224,591,0.3790186125211506
UCSF,Q4,race_category,Black or African American,categorical,73,591,0.12351945854483926
UCSF,Q4,race_category,Native Hawaiian or Other Pacific Islander,categorical,16,591,0.02707275803722504
UCSF,Q4,race_category,Other,categorical,58,591,0.09813874788494077
UCSF,Q4,race_category,Unknown,categorical,14,591,0.023688663282571912
UCSF,Q4,race_category,White,categorical,204,591,0.34517766497461927
UCSF,NA,race_category,Other,categorical,1,1,1
UCSF,Q1,ethnicity_category,Hispanic,categorical,153,592,0.25844594594594594
UCSF,Q1,ethnicity_category,Non-Hispanic,categorical,402,592,0.6790540540540541
UCSF,Q1,ethnicity_category,Unknown,categorical,37,592,0.0625
UCSF,Q2,ethnicity_category,Hispanic,categorical,118,592,0.19932432432432431
UCSF,Q2,ethnicity_category,Non-Hispanic,categorical,447,592,0.7550675675675675
UCSF,Q2,ethnicity_category,Unknown,categorical,27,592,0.04560810810810811
UCSF,Q3,ethnicity_category,Hispanic,categorical,61,592,0.10304054054054054
UCSF,Q3,ethnicity_category,Non-Hispanic,categorical,508,592,0.8581081081081081
UCSF,Q3,ethnicity_category,Unknown,categorical,23,592,0.03885135135135135
UCSF,Q4,ethnicity_category,Hispanic,categorical,43,591,0.0727580372250423
UCSF,Q4,ethnicity_category,Non-Hispanic,categorical,526,591,0.8900169204737732
UCSF,Q4,ethnicity_category,Unknown,categorical,22,591,0.03722504230118443
UCSF,NA,ethnicity_category,Non-Hispanic,categorical,1,1,1
UCSF,Q1,device_t0,CPAP,categorical,2,592,0.0033783783783783786
UCSF,Q1,device_t0,FACE MASK,categorical,27,592,0.04560810810810811
UCSF,Q1,device_t0,HIGH FLOW NC,categorical,47,592,0.07939189189189189
UCSF,Q1,device_t0,IMV,categorical,62,592,0.10472972972972973
UCSF,Q1,device_t0,NASAL CANNULA,categorical,125,592,0.21114864864864866
UCSF,Q1,device_t0,NIPPV,categorical,8,592,0.013513513513513514
UCSF,Q1,device_t0,OTHER,categorical,2,592,0.0033783783783783786
UCSF,Q1,device_t0,ROOM AIR,categorical,69,592,0.11655405405405406
UCSF,Q1,device_t0,TRACH COLLAR,categorical,11,592,0.018581081081081082
UCSF,Q1,device_t0,UNK,categorical,234,592,0.3952702702702703
UCSF,Q1,device_t0,NA,categorical,5,592,0.008445945945945946
UCSF,Q2,device_t0,CPAP,categorical,2,592,0.0033783783783783786
UCSF,Q2,device_t0,FACE MASK,categorical,31,592,0.052364864864864864
UCSF,Q2,device_t0,HIGH FLOW NC,categorical,51,592,0.08614864864864864
UCSF,Q2,device_t0,IMV,categorical,57,592,0.09628378378378379
UCSF,Q2,device_t0,NASAL CANNULA,categorical,131,592,0.22128378378378377
UCSF,Q2,device_t0,NIPPV,categorical,33,592,0.05574324324324324
UCSF,Q2,device_t0,ROOM AIR,categorical,75,592,0.1266891891891892
UCSF,Q2,device_t0,TRACH COLLAR,categorical,4,592,0.006756756756756757
UCSF,Q2,device_t0,UNK,categorical,207,592,0.34966216216216217
UCSF,Q2,device_t0,NA,categorical,1,592,0.0016891891891891893
UCSF,Q3,device_t0,CPAP,categorical,2,592,0.0033783783783783786
UCSF,Q3,device_t0,FACE MASK,categorical,33,592,0.05574324324324324
UCSF,Q3,device_t0,HIGH FLOW NC,categorical,52,592,0.08783783783783784
UCSF,Q3,device_t0,IMV,categorical,61,592,0.10304054054054054
UCSF,Q3,device_t0,NASAL CANNULA,categorical,138,592,0.23310810810810811
UCSF,Q3,device_t0,NIPPV,categorical,42,592,0.07094594594594594
UCSF,Q3,device_t0,OTHER,categorical,3,592,0.005067567567567568
UCSF,Q3,device_t0,ROOM AIR,categorical,66,592,0.11148648648648649
UCSF,Q3,device_t0,TRACH COLLAR,categorical,3,592,0.005067567567567568
UCSF,Q3,device_t0,UNK,categorical,188,592,0.31756756756756754
UCSF,Q3,device_t0,NA,categorical,4,592,0.006756756756756757
UCSF,Q4,device_t0,CPAP,categorical,5,591,0.008460236886632826
UCSF,Q4,device_t0,FACE MASK,categorical,29,591,0.049069373942470386
UCSF,Q4,device_t0,HIGH FLOW NC,categorical,72,591,0.1218274111675127
UCSF,Q4,device_t0,IMV,categorical,42,591,0.07106598984771574
UCSF,Q4,device_t0,NASAL CANNULA,categorical,131,591,0.22165820642978004
UCSF,Q4,device_t0,NIPPV,categorical,63,591,0.1065989847715736
UCSF,Q4,device_t0,ROOM AIR,categorical,45,591,0.07614213197969544
UCSF,Q4,device_t0,TRACH COLLAR,categorical,7,591,0.011844331641285956
UCSF,Q4,device_t0,UNK,categorical,194,591,0.32825719120135366
UCSF,Q4,device_t0,NA,categorical,3,591,0.005076142131979695
UCSF,NA,device_t0,TRACH COLLAR,categorical,1,1,1
UCSF,Q1,traj_cluster_ra,1,categorical,180,592,0.30405405405405406
UCSF,Q1,traj_cluster_ra,2,categorical,68,592,0.11486486486486487
UCSF,Q1,traj_cluster_ra,3,categorical,151,592,0.25506756756756754
UCSF,Q1,traj_cluster_ra,4,categorical,108,592,0.18243243243243243
UCSF,Q1,traj_cluster_ra,5,categorical,85,592,0.14358108108108109
UCSF,Q2,traj_cluster_ra,1,categorical,151,592,0.25506756756756754
UCSF,Q2,traj_cluster_ra,2,categorical,83,592,0.14020270270270271
UCSF,Q2,traj_cluster_ra,3,categorical,147,592,0.2483108108108108
UCSF,Q2,traj_cluster_ra,4,categorical,111,592,0.1875
UCSF,Q2,traj_cluster_ra,5,categorical,95,592,0.16047297297297297
UCSF,Q2,traj_cluster_ra,NA,categorical,5,592,0.008445945945945946
UCSF,Q3,traj_cluster_ra,1,categorical,133,592,0.22466216216216217
UCSF,Q3,traj_cluster_ra,2,categorical,89,592,0.15033783783783783
UCSF,Q3,traj_cluster_ra,3,categorical,166,592,0.28040540540540543
UCSF,Q3,traj_cluster_ra,4,categorical,124,592,0.20945945945945946
UCSF,Q3,traj_cluster_ra,5,categorical,73,592,0.12331081081081081
UCSF,Q3,traj_cluster_ra,NA,categorical,7,592,0.011824324324324325
UCSF,Q4,traj_cluster_ra,1,categorical,115,591,0.19458544839255498
UCSF,Q4,traj_cluster_ra,2,categorical,102,591,0.17258883248730963
UCSF,Q4,traj_cluster_ra,3,categorical,173,591,0.2927241962774958
UCSF,Q4,traj_cluster_ra,4,categorical,122,591,0.20642978003384094
UCSF,Q4,traj_cluster_ra,5,categorical,70,591,0.11844331641285956
UCSF,Q4,traj_cluster_ra,NA,categorical,9,591,0.015228426395939087
UCSF,NA,traj_cluster_ra,1,categorical,1,1,1
UCSF,Q1,severity_rank,1,categorical,108,592,0.18243243243243243
UCSF,Q1,severity_rank,2,categorical,151,592,0.25506756756756754
UCSF,Q1,severity_rank,3,categorical,68,592,0.11486486486486487
UCSF,Q1,severity_rank,4,categorical,180,592,0.30405405405405406
UCSF,Q1,severity_rank,5,categorical,85,592,0.14358108108108109
UCSF,Q2,severity_rank,1,categorical,111,592,0.1875
UCSF,Q2,severity_rank,2,categorical,147,592,0.2483108108108108
UCSF,Q2,severity_rank,3,categorical,83,592,0.14020270270270271
UCSF,Q2,severity_rank,4,categorical,151,592,0.25506756756756754
