site_name,stratum,variable,level,summary_type,n,denom,prop
UCSF,Overall,sex_category,Female,categorical,1052,2368,0.44425675675675674
UCSF,Overall,sex_category,Male,categorical,1311,2368,0.5536317567567568
UCSF,Overall,sex_category,Unknown,categorical,5,2368,0.0021114864864864866
UCSF,Overall,race_category,American Indian or Alaska Native,categorical,18,2368,0.007601351351351352
UCSF,Overall,race_category,Asian,categorical,558,2368,0.23564189189189189
UCSF,Overall,race_category,Black or African American,categorical,222,2368,0.09375
UCSF,Overall,race_category,Native Hawaiian or Other Pacific Islander,categorical,40,2368,0.016891891891891893
UCSF,Overall,race_category,Other,categorical,410,2368,0.17314189189189189
UCSF,Overall,race_category,Unknown,categorical,112,2368,0.0472972972972973
UCSF,Overall,race_category,White,categorical,1008,2368,0.42567567567567566
UCSF,Overall,ethnicity_category,Hispanic,categorical,375,2368,0.15836148648648649
UCSF,Overall,ethnicity_category,Non-Hispanic,categorical,1884,2368,0.7956081081081081
UCSF,Overall,ethnicity_category,Unknown,categorical,109,2368,0.04603040540540541
UCSF,Overall,device_t0,CPAP,categorical,11,2368,0.0046452702702702705
UCSF,Overall,device_t0,FACE MASK,categorical,120,2368,0.05067567567567568
UCSF,Overall,device_t0,HIGH FLOW NC,categorical,222,2368,0.09375
UCSF,Overall,device_t0,IMV,categorical,222,2368,0.09375
UCSF,Overall,device_t0,NASAL CANNULA,categorical,525,2368,0.22170608108108109
UCSF,Overall,device_t0,NIPPV,categorical,146,2368,0.06165540540540541
UCSF,Overall,device_t0,OTHER,categorical,5,2368,0.0021114864864864866
UCSF,Overall,device_t0,ROOM AIR,categorical,255,2368,0.10768581081081081
UCSF,Overall,device_t0,TRACH COLLAR,categorical,26,2368,0.01097972972972973
UCSF,Overall,device_t0,UNK,categorical,823,2368,0.34755067567567566
UCSF,Overall,device_t0,NA,categorical,13,2368,0.005489864864864865
UCSF,Overall,traj_cluster_ra,1,categorical,580,2368,0.24493243243243243
UCSF,Overall,traj_cluster_ra,2,categorical,342,2368,0.14442567567567569
UCSF,Overall,traj_cluster_ra,3,categorical,637,2368,0.2690033783783784
UCSF,Overall,traj_cluster_ra,4,categorical,465,2368,0.19636824324324326
UCSF,Overall,traj_cluster_ra,5,categorical,323,2368,0.13640202702702703
UCSF,Overall,traj_cluster_ra,NA,categorical,21,2368,0.008868243243243243
UCSF,Overall,severity_rank,1,categorical,465,2368,0.19636824324324326
UCSF,Overall,severity_rank,2,categorical,637,2368,0.2690033783783784
UCSF,Overall,severity_rank,3,categorical,342,2368,0.14442567567567569
UCSF,Overall,severity_rank,4,categorical,580,2368,0.24493243243243243
UCSF,Overall,severity_rank,5,categorical,323,2368,0.13640202702702703
UCSF,Overall,severity_rank,NA,categorical,21,2368,0.008868243243243243
UCSF,Overall,death_in_hosp,0,categorical,1733,2368,0.7318412162162162
UCSF,Overall,death_in_hosp,1,categorical,635,2368,0.26815878378378377
UCSF,Overall,hospice_discharge,0,categorical,2254,2368,0.9518581081081081
UCSF,Overall,hospice_discharge,1,categorical,114,2368,0.04814189189189189
UCSF,Overall,death_or_hospice,0,categorical,1619,2368,0.6836993243243243
UCSF,Overall,death_or_hospice,1,categorical,749,2368,0.31630067567567566
UCSF,Overall,any_imv_icu,0,categorical,1009,2368,0.42609797297297297
UCSF,Overall,any_imv_icu,1,categorical,1359,2368,0.573902027027027
UCSF,Overall,any_imv_72h,0,categorical,1124,2368,0.47466216216216217
UCSF,Overall,any_imv_72h,1,categorical,1244,2368,0.5253378378378378
UCSF,Overall,vaso_any_72h,0,categorical,1139,2368,0.4809966216216216
UCSF,Overall,vaso_any_72h,1,categorical,1229,2368,0.5190033783783784
UCSF,Overall,advanced_cancer_any_poa,0,categorical,1768,2368,0.7466216216216216
UCSF,Overall,advanced_cancer_any_poa,1,categorical,600,2368,0.2533783783783784
UCSF,Overall,metastatic_cancer_poa,0,categorical,1967,2368,0.8306587837837838
UCSF,Overall,metastatic_cancer_poa,1,categorical,401,2368,0.16934121621621623
UCSF,Overall,malignant_pleural_effusion_poa,0,categorical,2276,2368,0.9611486486486487
UCSF,Overall,malignant_pleural_effusion_poa,1,categorical,92,2368,0.03885135135135135
UCSF,Overall,cachexia_poa,0,categorical,2123,2368,0.8965371621621622
UCSF,Overall,cachexia_poa,1,categorical,245,2368,0.10346283783783784
