site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
UCSF,Overall,age_years,NA,continuous,2368,61.05701013513514,18.36904349805054,63.5,50,75
UCSF,Overall,icu_los_hours,NA,continuous,2368,201.21235923423424,304.7956496037888,93.85833333333332,41.88333333333333,228.96666666666667
UCSF,Overall,imv_hours_icu,NA,continuous,2368,41.91216216216216,91.24962565619282,4.5,0,41.25
UCSF,Overall,imv_hours_72h,NA,continuous,2368,11.14231418918919,14.885608604377088,2,0,20
UCSF,Overall,escalations_icu,NA,continuous,2368,2.603885135135135,6.293364785880511,1,0,3
UCSF,Overall,deescalations_icu,NA,continuous,2368,3.2136824324324325,6.189374376361484,2,1,3
UCSF,Overall,vaso_hours_72h,NA,continuous,2368,8.400337837837839,12.326094538049492,1,0,14
UCSF,Overall,vaso_mean_72h,NA,continuous,2368,0.5190033783783784,0.49974427257263077,1,0,1
UCSF,Overall,pm25_1y,NA,continuous,2367,8.014252834900251,2.300591041264604,7.660795211791992,6.62975001335144,8.349899768829346
UCSF,Overall,pm25_3y,NA,continuous,2367,8.36883162363518,1.5955784760154155,8.075598239898682,7.273653371849919,9.450186729431152
UCSF,Overall,pm25_5y,NA,continuous,2367,8.59220558654684,1.2545193088777344,8.60774278640747,7.644416110795119,9.622259283065796
UCSF,Overall,no2_1y,NA,continuous,2367,5.519610654575899,2.893575768519902,4.710939884185791,2.9018012285232544,8.370450973510742
UCSF,Overall,no2_3y,NA,continuous,2367,5.799349961707109,3.0923609433143473,5.105296173981314,2.9996240135558225,8.489089647928873
UCSF,Overall,no2_5y,NA,continuous,2367,6.153634465637052,3.366549571694095,5.479156970977783,3.161825962734246,9.104216708494036
UCSF,Overall,charlson_score,NA,continuous,2368,3.8074324324324325,3.2266966493744924,3,1,6
UCSF,Overall,sofa_total,NA,continuous,2368,7.569679054054054,4.524659139413201,7,4,11
UCSF,Overall,sofa_resp,NA,continuous,2368,2.0219594594594597,1.5327515990356937,2,0,3
UCSF,Overall,sofa_cv,NA,continuous,2368,1.8720439189189189,1.5199322505403141,1,1,3
UCSF,Overall,sofa_renal,NA,continuous,2368,0.7673141891891891,1.1467685939023673,0,0,1
UCSF,Overall,sofa_liver,NA,continuous,2368,0.24155405405405406,0.6908879688495744,0,0,0
UCSF,Overall,sofa_coag,NA,continuous,2368,0.640625,1.0369538509371494,0,0,1
UCSF,Overall,sofa_cns,NA,continuous,2368,2.0261824324324325,1.6195333695553062,2,0,4
